date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:52:03	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22681e5469-239b%22	https://bbpvp.github.io/robots.txt		(from )
22:52:03	10535/10535	---M-Z	200	added ('OK')	text/html	etag:W/%226805d027-2927%22	https://bbpvp.github.io/botspacemantexas189/	C:/Users/ASUS/Downloads/BotSpacemanJago189/bbpvp.github.io/botspacemanjago189/index.html	(from )
22:52:04	37424/37424	---MCZ	200	added ('OK')	text/css	date:Thu,%2020%20Feb%202025%2012:29:18%20GMT	https://sahara88bot.site/css/font-awesome.css	C:/Users/ASUS/Downloads/BotSpacemanJago189/sahara88bot.site/css/font-awesome.css	(from https://bbpvp.github.io/botspacemanjago189/)
22:52:04	232855/232855	---MCZ	200	added ('OK')	text/css	date:Thu,%2020%20Feb%202025%2012:29:19%20GMT	https://sahara88bot.site/css/bootstrap.min.css	C:/Users/ASUS/Downloads/BotSpacemanJago189/sahara88bot.site/css/bootstrap.min.css	(from https://bbpvp.github.io/botspacemanjago189/)
22:52:06	163783/163783	---MCZ	200	added ('OK')	text/css	date:Thu,%2020%20Feb%202025%2012:29:19%20GMT	https://sahara88bot.site/css/style.css	C:/Users/ASUS/Downloads/BotSpacemanJago189/sahara88bot.site/css/style.css	(from https://bbpvp.github.io/botspacemanjago189/)
22:52:06	16918/16918	---M--	200	added ('OK')	image/webp	etag:%22afa2ca157a3a626b5bf6d55c53bf5160%22	https://asset01.source-static.us/assets/rajaplay/texas189/components/logo-Texas189-v2.webp	C:/Users/ASUS/Downloads/BotSpacemanJago189/asset01.source-static.us/assets/rajaplay/texas189/components/logo-Texas189-v2.webp	(from https://bbpvp.github.io/botspacemanjago189/)
22:52:07	1158/1158	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20May%202025%2015:52:07%20GMT	https://texas189x.art/fcnd	C:/Users/ASUS/Downloads/BotSpacemanJago189/jago189.xyz/dlsj.html	(from https://bbpvp.github.io/botspacemantexas189/)
22:52:07	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://bbpvp.github.io/botspacemantexas189/images/flag.png	C:/Users/ASUS/Downloads/BotSpacemanJago189/bbpvp.github.io/botspacemanjago189/images/flag.png	(from https://bbpvp.github.io/botspacemanjago189/)
22:52:08	60582/60582	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2020%20Feb%202025%2012:28:44%20GMT	https://sahara88bot.site/js/bootstrap.min.js	C:/Users/ASUS/Downloads/BotSpacemanArmada365/sahara88bot.site/js/bootstrap.min.js	(from https://bbpvp.github.io/botspacemantexas189/)
22:52:08	84320/84320	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2020%20Feb%202025%2012:28:45%20GMT	https://sahara88bot.site/js/jquery.min.js	C:/Users/ASUS/Downloads/BotSpacemanArmada365/sahara88bot.site/js/jquery.min.js	(from https://bbpvp.github.io/botspacemantexas189/)
22:52:09	21584/21584	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2020%20Feb%202025%2012:28:44%20GMT	https://sahara88bot.site/js/jquery.validate.min.js	C:/Users/ASUS/Downloads/BotSpacemanArmada365/sahara88bot.site/js/jquery.validate.min.js	(from https://bbpvp.github.io/botspacemantexas189/)
22:52:09	1793/1793	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2020%20Feb%202025%2012:28:44%20GMT	https://sahara88bot.site/js/jquery.typewriter.min.js	C:/Users/ASUS/Downloads/BotSpacemanArmada365/sahara88bot.site/js/jquery.typewriter.min.js	(from https://bbpvp.github.io/botspacemantexas189/)
22:52:09	10329/10329	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2020%20Feb%202025%2012:28:44%20GMT	https://sahara88bot.site/js/buzz.min.js	C:/Users/ASUS/Downloads/BotSpacemanArmada365/sahara88bot.site/js/buzz.min.js	(from https://bbpvp.github.io/botspacemantexas189/)
22:52:09	35192/35192	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2020%20Mar%202025%2007:11:01%20GMT	https://sahara88bot.site/js/script.js	C:/Users/ASUS/Downloads/BotSpacemanArmada365/sahara88bot.site/js/script.js	(from https://bbpvp.github.io/botspacemantexas189/)
22:52:10	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20May%202025%2015:52:10%20GMT	https://sahara88bot.site/css/font/fontawesome-webfont.eot?v=4.7.0	C:/Users/ASUS/Downloads/BotSpacemanArmada365/sahara88bot.site/css/font/fontawesome-webfont3e6e.eot	(from https://sahara88bot.site/css/font-awesome.css)
22:52:10	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20May%202025%2015:52:11%20GMT	https://sahara88bot.site/css/font/fontawesome-webfont.eot?	C:/Users/ASUS/Downloads/BotSpacemanArmada365/sahara88bot.site/css/font/fontawesome-webfontd41d.eot	(from https://sahara88bot.site/css/font-awesome.css)
22:52:11	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20May%202025%2015:52:11%20GMT	https://sahara88bot.site/css/font/fontawesome-webfont.woff2?v=4.7.0	C:/Users/ASUS/Downloads/BotSpacemanArmada365/sahara88bot.site/css/font/fontawesome-webfont3e6e.woff2	(from https://sahara88bot.site/css/font-awesome.css)
22:52:11	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20May%202025%2015:52:11%20GMT	https://sahara88bot.site/css/font/fontawesome-webfont.woff?v=4.7.0	C:/Users/ASUS/Downloads/BotSpacemanArmada365/sahara88bot.site/css/font/fontawesome-webfont3e6e.woff	(from https://sahara88bot.site/css/font-awesome.css)
22:52:12	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20May%202025%2015:52:12%20GMT	https://sahara88bot.site/css/font/fontawesome-webfont.ttf?v=4.7.0	C:/Users/ASUS/Downloads/BotSpacemanArmada365/sahara88bot.site/css/font/fontawesome-webfont3e6e.ttf	(from https://sahara88bot.site/css/font-awesome.css)
22:52:12	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20May%202025%2015:52:12%20GMT	https://sahara88bot.site/css/font/fontawesome-webfont.svg?v=4.7.0	C:/Users/ASUS/Downloads/BotSpacemanArmada365/sahara88bot.site/css/font/fontawesome-webfont3e6e.svg	(from https://sahara88bot.site/css/font-awesome.css)
22:52:13	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20May%202025%2015:52:13%20GMT	https://sahara88bot.site/css/img/usr.jpg	C:/Users/ASUS/Downloads/BotSpacemanArmada365/sahara88bot.site/css/img/usr.jpg	(from https://sahara88bot.site/css/style.css)
22:52:13	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20May%202025%2015:52:14%20GMT	https://sahara88bot.site/css/img/arrow.png	C:/Users/ASUS/Downloads/BotSpacemanArmada365/sahara88bot.site/css/img/arrow.png	(from https://sahara88bot.site/css/style.css)
22:52:14	275/275	---MC-	403	error ('Forbidden')	application/xml	date:Mon,%2012%20May%202025%2015:52:14%20GMT	https://asset01.source-static.us/robots.txt		(from https://bbpvp.github.io/botspacemantexas189/)
22:52:14	688/688	---MCZ	200	added ('OK')	text/html	date:Mon,%2012%20May%202025%2015:52:14%20GMT	https://texas189x.art/robots.txt		(from https://bbpvp.github.io/botspacemantexas189/)
22:52:15	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2012%20May%202025%2015:52:15%20GMT	https://sahara88bot.site/robots.txt		(from https://sahara88bot.site/css/font-awesome.css)
